,PARTIDO,,,,PARTIDO,,,,PARTIDO,,PARTIDO,,PARTIDO,,PARTIDO,,,
,ALIANZA,,,,NACIONALISTA,,PARTIDO,,REVOLUCIONARIO,,REVOLUCIONARIO,,UNION,,VANGUARDIA,,,
,SOCIAL,,PARTIDO,,REVOCIONARIO,,REVOLUCIONARIO,,DOMINICANO,,SOCIAL,,CIVICA,,REVOLUCIONARIA,,TOTALES,
,DEMOCRATA,,NACIONAL,,DEMOCRATA,,DOMINICANO,,AUTENTICO,,CRISTIANO,,NACIONAL,,DOMINICANA,,CANDIDATURAS,
,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS
DEPARTAMENTO DE PERAVIA,"1,367","1,577",190,491,"5,406","5,635","105,236","103,634",726,"1,576","4,261","4,647","18,570","18,600",775,"1,992","136,531","138,152"
PROVINCIA AZUA,358,373,111,110,"3,285","3,294","11,050","10,853",403,402,786,993,"5,233","5,142",408,418,"21,634","21,585"
AZUA,238,253,74,73,865,874,"9,126","8,929",320,319,718,925,"4,671","4,580",346,356,"16,358","16,309"
PADRE LAS CASAS,120,120,37,37,"2,420","2,420","1,924","1,924",83,83,68,68,562,562,62,62,"5,276","5,276"
PROVINCIA DE PERAVIA,163,343,79,83,"1,329","1,423","21,765","22,075",323,327,792,942,"7,477","7,632",367,399,"32,295","33,224"
BANI,151,331,63,67,"1,309","1,403","13,972","14,282",284,288,745,895,"4,233","4,388",310,342,"21,067","21,996"
SAN JOSE DE OCOA,12,12,16,16,20,20,"7,793","7,793",39,39,47,47,"3,244","3,244",57,57,"11,228","11,228"
PROVINCIA DE SAN CRISTOBAL,846,861,0,298,792,918,"72,421","70,706",0,847,"2,683","2,712","5,860","5,826",0,"1,175","82,602","83,343"
BAYAGUANA,469,471,,10,17,17,"3,816","3,727",,48,44,44,"1,124","1,123",,73,"5,470","5,513"
MONTE PLATA,215,221,,15,40,39,"14,794","14,591",,146,70,70,"1,366","1,363",,165,"16,485","16,610"
